10/01/2024 : 06:43 :   ****** DOWNLOAD ******

10/01/2024 : 06:43 :   **** Set up ****
10/01/2024 : 06:43 :   Download event Id is 102261
10/01/2024 : 06:43 :   
10/01/2024 : 06:43 :   Source_id is 100120
10/01/2024 : 06:43 :   Type_id is 111
10/01/2024 : 06:43 :   Cutoff date is 2020-09-23
10/01/2024 : 06:43 :   Calling ObtainDataFromSourceAsync...
10/01/2024 : 06:43 :   250 files processed, 0 added, after 10 calls  (out of 10520)
10/01/2024 : 06:44 :   500 files processed, 1 added, after 20 calls 
10/01/2024 : 06:44 :   750 files processed, 2 added, after 30 calls 
10/01/2024 : 06:44 :   1000 files processed, 3 added, after 40 calls 
10/01/2024 : 06:44 :   1250 files processed, 4 added, after 50 calls 
10/01/2024 : 06:44 :   1500 files processed, 4 added, after 60 calls 
10/01/2024 : 06:45 :   1750 files processed, 4 added, after 70 calls 
10/01/2024 : 06:45 :   2000 files processed, 4 added, after 80 calls 
10/01/2024 : 06:45 :   2250 files processed, 4 added, after 90 calls 
10/01/2024 : 06:45 :   2500 files processed, 4 added, after 100 calls 
10/01/2024 : 06:45 :   2750 files processed, 4 added, after 110 calls 
10/01/2024 : 06:45 :   3000 files processed, 4 added, after 120 calls 
10/01/2024 : 06:46 :   3250 files processed, 5 added, after 130 calls 
10/01/2024 : 06:46 :   3500 files processed, 6 added, after 140 calls 
10/01/2024 : 06:46 :   3750 files processed, 6 added, after 150 calls 
10/01/2024 : 06:46 :   4000 files processed, 6 added, after 160 calls 
10/01/2024 : 06:46 :   4250 files processed, 6 added, after 170 calls 
10/01/2024 : 06:47 :   4500 files processed, 6 added, after 180 calls 
10/01/2024 : 06:47 :   4750 files processed, 6 added, after 190 calls 
10/01/2024 : 06:47 :   5000 files processed, 6 added, after 200 calls  (out of 10520)
10/01/2024 : 06:47 :   5250 files processed, 6 added, after 210 calls 
10/01/2024 : 06:47 :   5500 files processed, 6 added, after 220 calls 
10/01/2024 : 06:47 :   5750 files processed, 6 added, after 230 calls 
10/01/2024 : 06:48 :   6000 files processed, 6 added, after 240 calls 
10/01/2024 : 06:48 :   6250 files processed, 7 added, after 250 calls 
10/01/2024 : 06:48 :   6500 files processed, 7 added, after 260 calls 
10/01/2024 : 06:48 :   6750 files processed, 7 added, after 270 calls 
10/01/2024 : 06:48 :   7000 files processed, 7 added, after 280 calls 
10/01/2024 : 06:48 :   7250 files processed, 7 added, after 290 calls 
10/01/2024 : 06:49 :   7500 files processed, 8 added, after 300 calls 
10/01/2024 : 06:49 :   7750 files processed, 8 added, after 310 calls 
10/01/2024 : 06:49 :   8000 files processed, 8 added, after 320 calls 
10/01/2024 : 06:49 :   8250 files processed, 8 added, after 330 calls 
10/01/2024 : 06:49 :   8500 files processed, 9 added, after 340 calls 
10/01/2024 : 06:50 :   8750 files processed, 9 added, after 350 calls 
10/01/2024 : 06:50 :   9000 files processed, 9 added, after 360 calls 
10/01/2024 : 06:50 :   9250 files processed, 9 added, after 370 calls 
10/01/2024 : 06:50 :   9500 files processed, 9 added, after 380 calls 
10/01/2024 : 06:50 :   9750 files processed, 9 added, after 390 calls 
10/01/2024 : 06:50 :   10000 files processed, 9 added, after 400 calls  (out of 10520)
10/01/2024 : 06:51 :   10250 files processed, 9 added, after 410 calls 
10/01/2024 : 06:51 :   10500 files processed, 9 added, after 420 calls 
10/01/2024 : 06:51 :   10750 files processed, 9 added, after 430 calls 
10/01/2024 : 06:51 :   11000 files processed, 9 added, after 440 calls 
10/01/2024 : 06:51 :   11250 files processed, 9 added, after 450 calls 
10/01/2024 : 06:51 :   11500 files processed, 9 added, after 460 calls 
10/01/2024 : 06:52 :   11750 files processed, 9 added, after 470 calls 
10/01/2024 : 06:52 :   12000 files processed, 9 added, after 480 calls 
10/01/2024 : 06:52 :   12250 files processed, 9 added, after 490 calls 
10/01/2024 : 06:52 :   12500 files processed, 9 added, after 500 calls 
10/01/2024 : 06:52 :   12750 files processed, 9 added, after 510 calls 
10/01/2024 : 06:52 :   13000 files processed, 9 added, after 520 calls 
10/01/2024 : 06:53 :   13250 files processed, 9 added, after 530 calls 
10/01/2024 : 06:53 :   13500 files processed, 9 added, after 540 calls 
10/01/2024 : 06:53 :   13750 files processed, 9 added, after 550 calls 
10/01/2024 : 06:53 :   14000 files processed, 9 added, after 560 calls 
10/01/2024 : 06:53 :   14250 files processed, 9 added, after 570 calls 
10/01/2024 : 06:54 :   14500 files processed, 9 added, after 580 calls 
10/01/2024 : 06:54 :   14750 files processed, 9 added, after 590 calls 
10/01/2024 : 06:54 :   15000 files processed, 9 added, after 600 calls  (out of 10520)
10/01/2024 : 06:54 :   15250 files processed, 9 added, after 610 calls 
10/01/2024 : 06:54 :   15500 files processed, 9 added, after 620 calls 
10/01/2024 : 06:54 :   15750 files processed, 9 added, after 630 calls 
10/01/2024 : 06:55 :   16000 files processed, 9 added, after 640 calls 
10/01/2024 : 06:55 :   16250 files processed, 9 added, after 650 calls 
